image_id,x,y,class_id,confidence
S1,384.00,895.00,0,0.3296
S1,0.00,1111.00,0,0.3296
S1,0.00,1503.00,0,0.3293
S1,0.00,43.00,0,0.3293
S1,0.00,1609.00,0,0.3291
S1,0.00,93.00,0,0.3289
S1,0.00,641.00,0,0.3289
S1,0.00,1299.00,0,0.3287
S1,0.00,1751.00,0,0.3286
S1,0.00,1311.00,0,0.3285
S1,0.00,1677.00,0,0.3283
S1,0.00,857.00,0,0.3283
S1,2047.00,1663.00,0,0.3281
S1,0.00,1117.00,0,0.3280
S1,0.00,1515.00,0,0.3280
S1,0.00,1079.00,0,0.3279
S1,0.00,31.00,0,0.3278
S1,0.00,713.00,0,0.3277
S1,0.00,1131.00,0,0.3276
S1,0.00,1073.00,0,0.3276
S1,0.00,49.00,0,0.3275
S1,0.00,1003.00,0,0.3275
S1,0.00,1291.00,0,0.3275
S1,0.00,1591.00,0,0.3275
S1,0.00,719.00,0,0.3273
S1,0.00,1689.00,0,0.3273
S1,0.00,785.00,0,0.3273
S1,0.00,1067.00,0,0.3272
S1,0.00,887.00,0,0.3272
S1,0.00,835.00,0,0.3272
S1,0.00,1988.00,0,0.3271
S1,0.00,1543.00,0,0.3271
S1,0.00,667.00,0,0.3271
S1,0.00,1427.00,0,0.3271
S1,2047.00,1603.00,0,0.3271
S1,0.00,919.00,0,0.3269
S1,0.00,1333.00,0,0.3269
S1,0.00,37.00,0,0.3269
S1,0.00,1017.00,0,0.3269
S1,0.00,749.00,0,0.3268
S1,0.00,415.00,0,0.3268
S1,0.00,235.00,0,0.3268
S1,0.00,17.00,0,0.3267
S1,0.00,1657.00,0,0.3265
S1,0.00,909.00,0,0.3264
S1,0.00,997.00,0,0.3264
S1,0.00,305.00,0,0.3264
S1,0.00,869.00,0,0.3264
S1,0.00,799.00,0,0.3263
S1,0.00,11.00,0,0.3263
S1,0.00,1345.00,0,0.3262
S1,0.00,475.00,0,0.3262
S1,768.00,2047.00,0,0.3261
S1,0.00,931.00,0,0.3261
S1,0.00,1549.00,0,0.3258
S1,0.00,973.00,0,0.3257
S1,0.00,1361.00,0,0.3257
S1,0.00,741.00,0,0.3257
S1,0.00,937.00,0,0.3256
S1,0.00,1996.00,0,0.3255
S1,0.00,775.00,0,0.3255
S1,0.00,1137.00,0,0.3255
S1,0.00,1733.00,0,0.3254
S1,0.00,253.00,0,0.3254
S1,0.00,901.00,0,0.3254
S1,0.00,1317.00,0,0.3253
S1,0.00,573.00,0,0.3253
S1,0.00,1305.00,0,0.3253
S1,0.00,1523.00,0,0.3253
S1,0.00,843.00,0,0.3253
S1,0.00,825.00,0,0.3252
S1,0.00,1159.00,0,0.3252
S1,0.00,991.00,0,0.3251
S1,0.00,583.00,0,0.3251
S1,0.00,1213.00,0,0.3250
S1,0.00,1231.00,0,0.3250
